"Subject ID" "Activity Desciption" "Mean of Feature Measurements"
1 "Standing" -0.59231453855443
1 "Standing" -0.614038596505063
1 "Standing" -0.614751631483544
1 "Standing" -0.608068446597468
1 "Standing" -0.604963401
1 "Standing" -0.604098051536709
1 "Standing" -0.61066441335443
1 "Standing" -0.624060674866962
1 "Standing" -0.60176216056962
1 "Standing" -0.611857296394937
1 "Standing" -0.602080621732911
1 "Standing" -0.587638059373418
1 "Standing" -0.59261711338519
1 "Standing" -0.576916651962025
1 "Standing" -0.607613796453165
1 "Standing" -0.615806727135443
1 "Standing" -0.612810431736709
1 "Standing" -0.612211336924051
1 "Standing" -0.606137465391139
1 "Standing" -0.598398371631646
1 "Standing" -0.580730195503797
1 "Standing" -0.570548709402532
1 "Standing" -0.583093074173418
1 "Standing" -0.584290341774658
1 "Standing" -0.582137370116835
1 "Standing" -0.58514848973038
1 "Standing" -0.566608620986076
1 "Sitting" -0.528794910772152
1 "Sitting" -0.611385092116456
1 "Sitting" -0.594965810896202
1 "Sitting" -0.53213560756076
1 "Sitting" -0.534347197778481
1 "Sitting" -0.527065607170886
1 "Sitting" -0.60018799131519
1 "Sitting" -0.606593175987342
1 "Sitting" -0.59545102386962
1 "Sitting" -0.578504580164937
1 "Sitting" -0.579288559216456
1 "Sitting" -0.606219945231646
1 "Sitting" -0.597534378701266
1 "Sitting" -0.600196150941772
1 "Sitting" -0.605880267518987
1 "Sitting" -0.602677848444304
1 "Sitting" -0.593861113898734
1 "Sitting" -0.593884211818987
1 "Sitting" -0.591557656701266
1 "Sitting" -0.586950279475949
1 "Sitting" -0.587513199487342
1 "Sitting" -0.588423178737975
1 "Sitting" -0.593850098858228
1 "Sitting" -0.580554951372152
1 "Laying" -0.594580987458608
1 "Laying" -0.600734715610127
1 "Laying" -0.582723332978354
1 "Laying" -0.590488649135443
1 "Laying" -0.579925790806329
1 "Laying" -0.581969833811392
1 "Laying" -0.591838442425316
1 "Laying" -0.594016474170886
1 "Laying" -0.584442636270886
1 "Laying" -0.568592840950633
1 "Laying" -0.575231837207595
1 "Laying" -0.574876601627848
1 "Laying" -0.57664638786076
1 "Laying" -0.506613787198734
1 "Laying" -0.609502584251899
1 "Laying" -0.462147133303797
1 "Laying" -0.458016900506329
1 "Laying" -0.554268418841772
1 "Laying" -0.480558071468354
1 "Laying" -0.259044883178481
1 "Laying" -0.247111393379747
1 "Laying" -0.486631814424051
1 "Laying" -0.595806102596962
1 "Laying" -0.610861380426582
1 "Laying" -0.609302286049747
1 "Laying" -0.607145545090253
1 "Laying" -0.595111017016456
1 "Walking" -0.236124326354937
1 "Walking" -0.185204224363291
1 "Walking" -0.184827991508861
1 "Walking" -0.134847043310127
1 "Walking" -0.137511120482278
1 "Walking" -0.15821413511519
1 "Walking" -0.193663502467089
1 "Walking" -0.171922823001266
1 "Walking" -0.246177355792405
1 "Walking" -0.193002522493671
1 "Walking" -0.192818799369873
1 "Walking" -0.172218451164557
1 "Walking" -0.157498289873418
1 "Walking" -0.118137009978481
1 "Walking" -0.148122449949367
1 "Walking" -0.150727204620253
1 "Walking" -0.145162661068354
1 "Walking" -0.14311929136962
1 "Walking" -0.138089791110127
1 "Walking" -0.15295933026076
1 "Walking" -0.149526910370886
1 "Walking" -0.119374125654557
1 "Walking" -0.155298996960759
1 "Walking" -0.094832045543038
1 "Walking" -0.11739334671519
1 "Walking" -0.127595734165823
1 "Walking" -0.124454543403797
1 "Walking" -0.184169958231772
1 "Walking" -0.155765939696722
1 "Walking" -0.140448294202532
1 "Walking" -0.155297580694937
1 "Walking" -0.144444989737975
1 "Walking" -0.156001893235443
1 "Walking" -0.108823858702532
1 "Walking" -0.166075081932911
1 "Walking" -0.170105283722785
1 "Walking" -0.180587843648734
1 "Walking" -0.156083161927848
1 "Walking" -0.16740173167557
1 "Walking" -0.200572433306456
1 "Walking" -0.214313598051519
1 "Walking" -0.233971843881013
1 "Walking" -0.246397639412658
1 "Walking" -0.20861447416962
1 "Walking" -0.182212016764557
1 "Walking" -0.190673163620253
1 "Walking" -0.20514132584557
1 "Walking_Downstairs" -0.229052877836709
1 "Walking_Downstairs" -0.176719783979747
1 "Walking_Downstairs" -0.135562268883797
1 "Walking_Downstairs" -0.146083449348101
1 "Walking_Downstairs" -0.142155282977215
1 "Walking_Downstairs" -0.0876431773392405
1 "Walking_Downstairs" -0.0982445862675949
1 "Walking_Downstairs" -0.174307060970886
1 "Walking_Downstairs" -0.178848723367089
1 "Walking_Downstairs" -0.0082592498443038
1 "Walking_Downstairs" -0.0681655792303797
1 "Walking_Downstairs" -0.0202820742227848
1 "Walking_Downstairs" -0.0343470137879747
1 "Walking_Downstairs" -0.0811084070037975
1 "Walking_Downstairs" -0.124806319501266
1 "Walking_Downstairs" -0.0810491440303797
1 "Walking_Downstairs" -0.115943147929114
1 "Walking_Downstairs" -0.169248831598734
1 "Walking_Downstairs" -0.14886906518481
1 "Walking_Downstairs" -0.0944944419670886
1 "Walking_Downstairs" -0.0713723669493671
1 "Walking_Downstairs" -0.145149281497722
1 "Walking_Downstairs" -0.183036078388608
1 "Walking_Downstairs" -0.178765749941772
1 "Walking_Downstairs" -0.200034760453165
1 "Walking_Upstairs" -0.315110255055696
1 "Walking_Upstairs" -0.328812827670886
1 "Walking_Upstairs" -0.330548154836709
1 "Walking_Upstairs" -0.278493212650633
1 "Walking_Upstairs" -0.297685432840506
1 "Walking_Upstairs" -0.305478716235443
1 "Walking_Upstairs" -0.30739434213924
1 "Walking_Upstairs" -0.300402801893671
1 "Walking_Upstairs" -0.296300326455696
1 "Walking_Upstairs" -0.332746004810127
1 "Walking_Upstairs" -0.303915051779747
1 "Walking_Upstairs" -0.297228361068354
1 "Walking_Upstairs" -0.345935778859494
1 "Walking_Upstairs" -0.328177158760759
1 "Walking_Upstairs" -0.338963150436709
1 "Walking_Upstairs" -0.383902200417721
1 "Walking_Upstairs" -0.381737857588608
1 "Walking_Upstairs" -0.336579211887342
1 "Walking_Upstairs" -0.313594053641772
1 "Walking_Upstairs" -0.291536930394937
1 "Walking_Upstairs" -0.305156759713924
1 "Walking_Upstairs" -0.344414429143038
1 "Walking_Upstairs" -0.333964093902532
1 "Walking_Upstairs" -0.310280143318987
1 "Walking_Upstairs" -0.345334455835443
1 "Walking_Upstairs" -0.313202207531646
1 "Standing" -0.611123192717722
1 "Standing" -0.638344658608734
1 "Standing" -0.618173036768861
1 "Standing" -0.629041153343038
1 "Standing" -0.64967077144557
1 "Standing" -0.606946422101013
1 "Standing" -0.607588624553165
1 "Standing" -0.609745022591139
1 "Standing" -0.60374688813038
1 "Standing" -0.602341419941646
1 "Standing" -0.600624595881177
1 "Standing" -0.612333302467595
1 "Standing" -0.630271147651709
1 "Standing" -0.598305039508861
1 "Standing" -0.627957213438861
1 "Standing" -0.608821647935443
1 "Standing" -0.612470584135443
1 "Standing" -0.604266246251899
1 "Standing" -0.606744777273418
1 "Standing" -0.60062667443038
1 "Standing" -0.605035646365823
1 "Standing" -0.605521601736709
1 "Standing" -0.58640637736076
1 "Standing" -0.606941354848101
1 "Standing" -0.595524453413924
1 "Standing" -0.595137152556962
1 "Sitting" -0.595135573364937
1 "Sitting" -0.604035777202532
1 "Sitting" -0.592868143734177
1 "Sitting" -0.58347149421519
1 "Sitting" -0.571480784943038
1 "Sitting" -0.570008735410127
1 "Sitting" -0.557308545627848
1 "Sitting" -0.559787757018987
1 "Sitting" -0.565520886034177
1 "Sitting" -0.565212273408861
1 "Sitting" -0.575793263157722
1 "Laying" -0.606266004464557
1 "Laying" -0.612642902962025
1 "Laying" -0.591229878510127
1 "Laying" -0.582545914144304
1 "Laying" -0.579057900979747
1 "Laying" -0.578022078206329
1 "Laying" -0.5905827061
1 "Laying" -0.577138582207595
1 "Laying" -0.579941135137595
1 "Laying" -0.584913312489873
1 "Laying" -0.577542374244304
1 "Laying" -0.585450066002532
1 "Sitting" -0.613292513924051
1 "Sitting" -0.593918414851139
1 "Sitting" -0.597116685459494
1 "Sitting" -0.599979363511392
1 "Sitting" -0.590190896959494
1 "Sitting" -0.584601425707595
1 "Sitting" -0.59461034019076
1 "Sitting" -0.588045692734177
1 "Sitting" -0.584220646858228
1 "Sitting" -0.591456198389873
1 "Sitting" -0.585986064075949
1 "Sitting" -0.600255817189873
1 "Laying" -0.331201356974684
1 "Laying" -0.403411383126582
1 "Laying" -0.625543562302532
1 "Laying" -0.652916728
1 "Laying" -0.630097191674304
1 "Laying" -0.611355370492405
1 "Laying" -0.621476740118987
1 "Laying" -0.617246576835443
1 "Laying" -0.651115579183544
1 "Laying" -0.669969610382278
1 "Laying" -0.607723760189873
1 "Walking" -0.248559946383544
1 "Walking" -0.198919417303544
1 "Walking" -0.19166611935443
1 "Walking" -0.198379604597468
1 "Walking" -0.195649522298734
1 "Walking" -0.188901773303291
1 "Walking" -0.166987920531646
1 "Walking" -0.199077793735443
1 "Walking" -0.222470426775949
1 "Walking" -0.156977123089873
1 "Walking" -0.163731345208861
1 "Walking" -0.208271718082278
1 "Walking" -0.172480289936709
1 "Walking" -0.169883441117722
1 "Walking" -0.191118187253165
1 "Walking" -0.139620803177215
1 "Walking" -0.131763280920253
1 "Walking" -0.183731880683544
1 "Walking" -0.196062273556962
1 "Walking" -0.113203814380633
1 "Walking" -0.0716914230886076
1 "Walking" -0.0986843717544304
1 "Walking" -0.151063752979747
1 "Walking" -0.129828939810127
1 "Walking" -0.13022529353038
1 "Walking" -0.136269463578481
1 "Walking" -0.141953920911392
1 "Walking" -0.172917375024051
1 "Walking" -0.206516446143038
1 "Walking" -0.150438962965823
1 "Walking" -0.140148254808861
1 "Walking" -0.193381846343038
1 "Walking" -0.200749052789873
1 "Walking" -0.20169206241519
1 "Walking" -0.169635116253165
1 "Walking" -0.147127094217722
1 "Walking" -0.165664769397468
1 "Walking" -0.192919983297468
1 "Walking" -0.190567143445316
1 "Walking" -0.158214828675949
1 "Walking" -0.0926275652
1 "Walking" -0.0529111734177215
1 "Walking" -0.0910023191974684
1 "Walking" -0.132418753564684
1 "Walking" -0.0849332940632911
1 "Walking" -0.0901616942403797
1 "Walking" -0.178628183210127
1 "Walking" -0.167063519137975
1 "Walking_Downstairs" -0.26361613073038
1 "Walking_Downstairs" -0.166550585564937
1 "Walking_Downstairs" -0.0934939907772152
1 "Walking_Downstairs" -0.0107894419835443
1 "Walking_Downstairs" -0.0937160487531646
1 "Walking_Downstairs" -0.16645987939657
1 "Walking_Downstairs" -0.160127321644304
1 "Walking_Upstairs" -0.325345914210127
1 "Walking_Upstairs" -0.311627076955696
1 "Walking_Upstairs" -0.268661594746835
1 "Walking_Upstairs" -0.292621215436329
1 "Walking_Upstairs" -0.310421912770759
1 "Walking_Upstairs" -0.279344629227848
1 "Walking_Upstairs" -0.281514001260759
1 "Walking_Upstairs" -0.288523689911266
